name,gpu_chip,released,bus,memory,gpu_clock,memory_clock,shaders/TMUs/ROPs,TDP
Turion 64 MT-40,Lancaster,1,2.2 GHz,Socket 754,90 nm,N/A,25 W,25
Core i3-1005G1,Ice Lake-U,2  / 4,1.2 to 3.4 GHz,BGA 1440,10 nm,4MB,25 W,25
Core i3-10110U,Comet Lake-U,2  / 4,2.1 to 4.1 GHz,BGA 1440,14 nm,4MB,25 W,25
Core i3-4102E,Haswell,2  / 4,1600 MHz,BGA 1364,22 nm,3MB,25 W,25
Core i5-10210U,Comet Lake-U,4  / 8,1.6 to 4.2 GHz,BGA 1440,14 nm,6MB,25 W,25
Core i5-1035G1,Ice Lake-U,4  / 8,1 to 3.6 GHz,BGA 1440,10 nm,6MB,25 W,25
Core i5-1035G4,Ice Lake-U,4  / 8,1.1 to 3.7 GHz,BGA 1440,10 nm,6MB,25 W,25
Core i5-1035G7,Ice Lake-U,4  / 8,1.2 to 3.7 GHz,BGA 1440,10 nm,6MB,25 W,25
Core i7-10510U,Comet Lake-U,4  / 8,1.8 to 4.9 GHz,BGA 1440,14 nm,8MB,25 W,25
Core i7-10610U,Comet Lake-U,4  / 8,1.8 to 4.9 GHz,BGA 1440,14 nm,8MB,25 W,25
Core i7-1065G7,Ice Lake-U,4  / 8,1.3 to 3.9 GHz,BGA 1440,10 nm,8MB,25 W,25
Core i7-10710U,Comet Lake-U,6  / 12,1.1 to 4.7 GHz,BGA 1440,14 nm,12MB,25 W,25
Core i7-10810U,Comet Lake-U,6  / 12,1.1 to 4.9 GHz,BGA 1440,14 nm,12MB,25 W,25
Core i7-3555LE,Ivy Bridge,2  / 4,2.5 to 3.2 GHz,BGA 1023,22 nm,4MB,25 W,25
Core i7-9850HL,Coffee Lake-HR,6  / 12,1.9 to 4.1 GHz,BGA 1440,14 nm,9MB,25 W,25
Xeon E3-1105C,Gladden,4,1000 MHz,BGA 1283,32 nm,6MB,25 W,25
Xeon E3-1230L v3,Haswell-WS,4  / 8,1.8 to 2.8 GHz,Socket 1150,22 nm,8MB,25 W,25
Pentium 4-M 1.50,Northwood,1,1500 MHz,Socket 478,130 nm,N/A,26 W,26
Core Solo T1200,Yonah,1,1500 MHz,Socket 479,65 nm,N/A,27 W,27
Core Solo T1300,Yonah,1,1660 MHz,Socket 479,65 nm,N/A,27 W,27
Core Solo T1350,Yonah,1,1866 MHz,Socket 479,65 nm,N/A,27 W,27
Core Solo T1400,Yonah,1,1833 MHz,Socket 479,65 nm,N/A,27 W,27
Pentium III  933,Coppermine T,1,933 MHz,Socket 370,180 nm,N/A,27 W,27
Pentium M 730,Dothan,1,1600 MHz,Socket 479,90 nm,N/A,27 W,27
Pentium M 740,Dothan,1,1730 MHz,Socket 479,90 nm,N/A,27 W,27
Pentium M 750,Dothan,1,1860 MHz,Socket 479,90 nm,N/A,27 W,27
Pentium M 760,Dothan,1,2000 MHz,Socket 479,90 nm,N/A,27 W,27
Pentium M 770,Dothan,1,2.13 GHz,Socket 479,90 nm,N/A,27 W,27
Pentium M 780,Dothan,1,2.26 GHz,Socket 479,90 nm,N/A,27 W,27
Core i3-1115G4,Tiger Lake-U,2  / 4,3 to 4.1 GHz,BGA 1449,10 nm,6MB,28 W,28
Core i3-1125G4,Tiger Lake-U,4  / 8,2 to 3.7 GHz,BGA 1449,10 nm,8MB,28 W,28
Core i3-4158U,Haswell,2  / 4,2000 MHz,BGA 1168,22 nm,3MB,28 W,28
Core i3-5157U,Broadwell-U,2  / 4,2.5 GHz,BGA 1168,14 nm,3MB,28 W,28
Core i3-8109U,Kaby Lake-R,2  / 4,3 to 3.6 GHz,BGA 1356,14 nm,4MB,28 W,28
Core i3-8121U,Coffee Lake-U,2  / 4,2.2 GHz,BGA 1440,10 nm,4MB,28 W,28
Core i3-8145U,Whiskey Lake-U,2  / 4,2.1 to 3.9 GHz,BGA 1440,10 nm,4MB,28 W,28
Core i5-1135G7,Tiger Lake-U,4  / 8,2.4 to 4.2 GHz,BGA 1449,10 nm,8MB,28 W,28
Core i5-1145G7,Tiger Lake-U,4  / 8,2.6 to 4.4 GHz,BGA 1449,10 nm,8MB,28 W,28
Core i5-1155G7,Tiger Lake-U,4  / 8,2.5 to 4.5 GHz,BGA 1449,10 nm,8MB,28 W,28
Core i5-4258U,Haswell,2  / 4,2.4 to 2.9 GHz,BGA 1168,22 nm,3MB,28 W,28
Core i5-4288U,Haswell,2  / 4,2.6 to 3.1 GHz,BGA 1168,22 nm,3MB,28 W,28
Core i5-5257U,Broadwell-U,2  / 4,2.7 to 3.1 GHz,BGA 1168,14 nm,3MB,28 W,28
Core i5-5287U,Broadwell-U,2  / 4,2.9 to 3.3 GHz,BGA 1168,14 nm,3MB,28 W,28
Core i5-8259U,Coffee Lake-U,4  / 8,2.3 to 3.8 GHz,BGA 1356,14 nm,6MB,28 W,28
Core i5-8265U,Whiskey Lake-U,4  / 8,1.6 to 4.1 GHz,BGA 1440,14 nm,6MB,28 W,28
Core i5-8269U,Kaby Lake-R,4  / 8,2.6 to 4.2 GHz,BGA 1356,14 nm,6MB,28 W,28
Core i7-1068G7,Ice Lake-U,4  / 8,2.3 to 4.1 GHz,BGA 1440,10 nm,8MB,28 W,28
